Pays;Secteur;Type;Nom;WGS 84;Adresse;Département;Code postal;Ville;Lundi;Mardi;Mercredi;Jeudi;Vendredi ;Samedi;Dimanche et fêtes;Ouvert le lundi;Ouvert le mardi;Ouvert le mercredi;Ouvert le jeudi;Ouvert le vendredi;Ouvert le samedi;Ouvert le dimanche;Rendez-vous;GUICHET VENTE VOYAGES;BLS
(borne libre service);lu;ma;me;je;ve;LU - VE;Ouvert lundi - vendredi;Particularités;Particularités EN;Particularités ES;Particularités DE;Particularités IT;Particularités NL;Dates d'ouverture
si pdv saisonnier;Dates d'ouverture si pdv saisonnier EN;Dates d'ouverture si pdv saisonnier ES;Dates d'ouverture si pdv saisonnier DE;Dates d'ouverture si pdv saisonnier IT;Dates d'ouverture si pdv saisonnier NL;Si travaux, 
dates de fermeture;Si travaux, dates de fermeture EN;Si travaux, dates de fermeture ES;Si travaux, dates de fermeture DE;Si travaux, dates de fermeture IT;Si travaux, dates de fermeture NL;URL profonde service rendez-vous 
France;OUEST;Gare;QUESTEMBERT;47.68313102, -2.44966901;Place de la Gare;56;56230.0;Questembert;6:40-14:10;10:00-12:45 & 13:50-18:30;10:00-12:45 & 13:50-18:30;10:00-12:45 & 13:50-18:30;10:00-12:45 & 13:50-18:30;10:00-12:45 & 13:50-18:30;13:00-18:10;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;GARE;REDON;47.6522081032, -2.08881997792;Place Michel Macé;35;35600.0;REDON;6:00-19:00;8:00-19:00;8:00-19:00;8:00-19:00;8:00-19:00;9:00-13:00 & 14:00-18:00;11:40-20:20;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;ABANCOURT;49.68525261, 1.77443365;Place de la gare;60;60220.0;HENNICOURT;06:15-13:30;06:15-13:30;06:15-13:30;06:15-13:30;06:15-13:30;fermé;fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;ABBEVILLE;50.10195959, 1.82422275;Place de la gare;80;80100.0;Abbeville;5:30-19:50;5:30-19:50;5:30-19:50;5:30-19:50;5:30-19:50;7:30-19:40;10:25-13:05 & 14:10-20:50;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;ALBERT;50.00519358, 2.6431164;Place du général De Gaulle;80;80300.0;Albert;6:10-13:15 & 13:40-20:55;6:10-13:15 & 13:40-20:55;6:10-13:15 & 13:40-20:55;6:10-13:15 & 13:40-20:55;6:10-13:15 & 13:40-20:55;8:45-11:30 & 12:45-17:15;13:15-20:30;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;GARE;AMIENS;49.8902117923, 2.30752135448;47 PLACE ALPHONSE FIQUET;80;80000.0;AMIENS;5:50-19:30;5:50-19:30;5:50-19:30;5:50-19:30;5:50-20:20;5:50-19:30;8:10-20:20;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;CHAMBLY;49.16356959, 2.24037344;Place de la Gare;60;60230.0;Chambly;5:35-12:45 & 13:10-20:30;5:35-12:45 & 13:10-20:30;5:35-12:45 & 13:10-20:30;5:35-12:45 & 13:10-20:30;5:35-12:45 & 13:10-20:30;8:05-15:20;8:05-15:20;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;COMPIEGNE;49.4227186, 2.82444244;Place de la Gare;60;60200.0;Compiègne;5:30-21:10;5:30-21:10;5:30-21:10;5:30-21:10;5:30-21:10;5:45-21:10;6:25-21:10;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;CORBIE;49.91198389, 2.50004672;Rue Léon Curé;80;80800.0;Corbie;6:00-13:15;6:00-13:15;6:00-13:15;6:00-13:15;6:00-13:15;6:40-13:55;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;CREIL;49.26409256, 2.46905706;Place du général De Gaulle;60;60100.0;Creil;4:30-21:15;5:30-21:15;5:30-21:15;5:30-21:15;5:30-21:15;5:30-22:45;5:30-22:45;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;NORD;Gare;LONGPRE LES CORPS SAINTS;50.01142145, 2.00315966;Avenue de la Gare;80;80510.0;Longpré les Corps Saints;6:15-13:30;6:15-13:30;6:15-13:30;6:15-13:30;6:15-13:30;fermé;fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
